Practice,Outcome,Product,Is.Combo,Observations,Studies,Value,Sig,Value.se,CIlow,CIhigh,Source
Water Harvesting,Water Use Efficiency,Sorghum,TRUE,52,5,0.685,0.018,0.177,0.33748,1.03165,Easy
Water Harvesting,Gross Return,Maize,TRUE,35,6,0.491,0.172,0.316,-0.12868,1.11045,Easy
Water Harvesting,Crop Yield,Maize,TRUE,536,39,0.365,0,0.065,0.23799,0.49255,Easy
Water Harvesting,Water Use Efficiency,Maize,TRUE,135,9,0.315,0.019,0.111,0.09669,0.53251,Easy
Water Harvesting,Crop Yield,Soybean,TRUE,22,4,0.075,0.7,0.174,-0.2665,0.4156,Easy
Boundary Planting,Crop Yield,Maize,TRUE,187,6,0.157,0.304,0.142,-0.12024,0.4351,Easy
Deficit Irrigation,Crop Yield,Maize,TRUE,68,4,-0.002,0.986,0.134,-0.26472,0.25974,Easy
Mulch (Tree),Crop Yield,Pearl Millet,TRUE,71,10,0.803,0.036,0.277,0.25946,1.34562,Easy
Mulch (Tree),Crop Yield,Maize,TRUE,2229,94,0.602,0,0.061,0.48325,0.72157,Easy
Mulch (Tree),Crop Yield,Cowpea,TRUE,138,11,-0.311,0.163,0.146,-0.59715,-0.02522,Easy
Mulch (Tree),Crop Yield,Common Bean,TRUE,176,8,0.225,0.296,0.193,-0.15319,0.60413,Easy
Mulch (Tree),Water Use Efficiency,Maize,TRUE,163,12,0.548,0.031,0.216,0.12366,0.97149,Easy
Mulch (Tree),Crop Yield,Cassava,TRUE,167,10,-0.064,0.361,0.06,-0.18087,0.05341,Easy
Mulch (Tree),Crop Yield,Sorghum,TRUE,101,8,0.335,0.006,0.071,0.19538,0.47538,Easy
Mulch (Tree),Crop Yield,Rice,TRUE,14,5,0.052,0.872,0.302,-0.54018,0.64366,Easy
Mulch (Tree),Crop Yield,Groundnut,TRUE,62,6,0.004,0.97,0.095,-0.18266,0.19056,Easy
Mulch (Tree),Water Use Efficiency,Cowpea,TRUE,26,4,0.044,0.812,0.184,-0.33448,0.42272,Easy
Mulch (Tree),Soil Organic Carbon,Maize,TRUE,249,15,0.288,0.024,0.1,0.09254,0.48266,Easy
pH Control,Crop Yield,Maize,TRUE,225,13,0.644,0,0.122,0.4049,0.88272,Easy
Supplemental Irrigation,Crop Yield,Maize,TRUE,75,5,0.625,0.121,0.318,0.00138,1.24943,Easy
Supplemental Irrigation,Crop Yield,Rice,TRUE,8,4,0.917,0,0.15,0.56284,1.27091,Easy
Supplemental Irrigation,Crop Yield,Sorghum,TRUE,21,5,1.006,0.049,0.313,0.39375,1.61899,Easy
Supplemental Irrigation,Water Use Efficiency,Sorghum,TRUE,20,4,0.879,0.05,0.275,0.3394,1.41803,Easy
Alleycropping,Crop Yield,Maize,TRUE,1200,56,0.248,0.001,0.072,0.10614,0.38947,Easy
Alleycropping,Crop Yield,Cowpea,TRUE,81,8,-0.294,0.215,0.165,-0.61687,0.0292,Easy
Alleycropping,Crop Yield,Common Bean,TRUE,174,9,0.129,0.43,0.15,-0.16515,0.42365,Easy
Alleycropping,Water Use Efficiency,Maize,TRUE,99,9,0.265,0.641,0.489,-0.69359,1.22449,Easy
Alleycropping,Crop Yield,Cassava,TRUE,155,8,-0.046,0.172,0.034,-0.11188,0.01971,Easy
Alleycropping,Crop Yield,Groundnut,TRUE,56,6,0.023,0.778,0.075,-0.12411,0.17017,Easy
Alleycropping,Water Use Efficiency,Cowpea,TRUE,26,4,0.044,0.812,0.184,-0.33448,0.42272,Easy
Alleycropping,Crop Yield,Pearl Millet,TRUE,37,4,0.579,0,0.075,0.42768,0.73096,Easy
Alleycropping,Soil Organic Carbon,Maize,TRUE,78,8,0.252,0.112,0.113,0.03053,0.47291,Easy
Crop Rotation,Crop Yield,Pearl Millet,TRUE,115,4,0.468,0.013,0.09,0.29197,0.64408,Easy
Crop Rotation,Crop Yield,Maize,TRUE,686,54,0.527,0,0.066,0.39661,0.657,Easy
Crop Rotation,Crop Yield,Sorghum,TRUE,57,4,0.072,0.468,0.087,-0.09823,0.24197,Easy
Crop Rotation,Crop Yield,Cowpea,TRUE,50,4,-0.265,0.555,0.418,-1.08439,0.55525,Easy
Crop Rotation,Water Use Efficiency,Maize,TRUE,26,4,0.301,0.034,0.079,0.14503,0.45654,Easy
Crop Rotation,Crop Yield,Soybean,TRUE,57,5,-0.139,0.585,0.243,-0.6147,0.33671,Easy
Green Manure,Crop Yield,Sorghum,TRUE,49,5,0.39,0.262,0.298,-0.19499,0.97447,Easy
Green Manure,Crop Yield,Maize,TRUE,809,49,0.448,0,0.049,0.35265,0.54356,Easy
Green Manure,Crop Yield,Rice,TRUE,24,4,0.658,0.09,0.267,0.13409,1.18201,Easy
Green Manure,Crop Yield,Common Bean,TRUE,23,6,0.16,0.114,0.083,-0.00321,0.3231,Easy
Green Manure,Water Use Efficiency,Maize,TRUE,117,6,0.349,0,0.036,0.27933,0.41901,Easy
Agroforestry Fallow,Crop Yield,Maize,TRUE,257,14,0.649,0,0.102,0.44919,0.84954,Easy
Agroforestry Fallow,Crop Yield,Cassava,TRUE,32,5,0.092,0.272,0.082,-0.07551,0.25891,Easy
Intercropping,Crop Yield,Cowpea,TRUE,164,13,-0.718,0.001,0.182,-1.07611,-0.36073,Easy
Intercropping,Crop Yield,Pearl Millet,TRUE,78,5,0.056,0.748,0.162,-0.26255,0.37437,Easy
Intercropping,Crop Yield,Maize,TRUE,913,53,0.284,0,0.053,0.17979,0.38771,Easy
Intercropping,Crop Yield,Pigeon Pea,TRUE,60,4,-0.835,0.079,0.32,-1.4625,-0.2076,Easy
Intercropping,Water Use Efficiency,Cowpea,TRUE,18,5,0.122,0.682,0.277,-0.42138,0.66586,Easy
Intercropping,Crop Yield,Common Bean,TRUE,39,4,-0.287,0.098,0.122,-0.52605,-0.04775,Easy
Intercropping,Crop Yield,Soybean,TRUE,63,6,-0.565,0.004,0.128,-0.81605,-0.31396,Easy
Intercropping,Crop Yield,Cassava,TRUE,286,15,-0.053,0.616,0.103,-0.25511,0.14922,Easy
Intercropping,Gross Return,Maize,TRUE,44,4,0.346,0.229,0.187,-0.02089,0.71344,Easy
Intercropping,Crop Yield,Sorghum,TRUE,34,5,0.105,0.182,0.065,-0.02213,0.23127,Easy
Intercropping,Water Use Efficiency,Maize,TRUE,139,10,0.469,0.019,0.17,0.13695,0.80172,Easy
Intercropping,Gross Return,Cowpea-Maize,TRUE,53,5,0.427,0.043,0.15,0.13356,0.72123,Easy
Improved Fallow,Crop Yield,Maize,TRUE,263,14,0.823,0,0.153,0.52226,1.12343,Easy
Improved Fallow,Crop Yield,Rice,TRUE,14,4,0.086,0.815,0.337,-0.57486,0.74668,Easy
Biochar,Crop Yield,Maize,TRUE,35,4,0.728,0.042,0.247,0.24486,1.21205,Easy
Agroforestry Pruning,Yield Stability,Maize,TRUE,122,19,0.036,0.822,0.16,-0.277,0.349,Stability
Alleycropping,Yield Stability,Maize,TRUE,91,15,0.258,0.187,0.195,-0.125,0.64,Stability
Crop Residue Incorporation,Yield Stability,Maize,FALSE,7,5,0.01,0.977,0.326,-0.629,0.648,Stability
Crop Residue Incorporation,Yield Stability,Maize,TRUE,9,4,-0.407,0.171,0.297,-0.989,0.175,Stability
Crop Rotation,Yield Stability,Maize,FALSE,13,5,0.233,0.223,0.191,-0.142,0.608,Stability
Crop Rotation,Yield Stability,Maize,TRUE,13,5,0.041,0.843,0.21,-0.369,0.452,Stability
Green Manure,Yield Stability,Maize,TRUE,50,4,-0.331,0.242,0.283,-0.885,0.224,Stability
Inorganic Fertilizer,Yield Stability,Maize,FALSE,106,12,-0.134,0.148,0.093,-0.315,0.048,Stability
Inorganic Fertilizer,Yield Stability,Maize,TRUE,270,34,-0.199,0.419,0.247,-0.683,0.284,Stability
Intercropping,Yield Stability,Maize,FALSE,43,14,0.101,0.536,0.164,-0.22,0.423,Stability
Intercropping,Yield Stability,Maize,TRUE,57,12,-0.033,0.768,0.113,-0.255,0.189,Stability
Mulch,Yield Stability,Maize,TRUE,95,21,0.023,0.851,0.123,-0.217,0.263,Stability
Mulch (Herb),Yield Stability,Maize,FALSE,44,11,0.083,0.682,0.202,-0.314,0.48,Stability
Mulch (Tree),Yield Stability,Maize,FALSE,11,5,-0.197,0.456,0.264,-0.715,0.321,Stability
Organic Fertilizer,Yield Stability,Maize,FALSE,26,13,-0.181,0.254,0.158,-0.491,0.13,Stability
Organic Fertilizer,Yield Stability,Maize,TRUE,37,11,-0.154,0.485,0.221,-0.587,0.279,Stability
Reduced Tillage,Yield Stability,Maize,FALSE,37,12,0.032,0.768,0.11,-0.183,0.248,Stability
Reduced Tillage,Yield Stability,Maize,TRUE,97,20,-0.013,0.963,0.28,-0.561,0.535,Stability
Water Harvesting,Yield Stability,Maize,FALSE,18,7,0.016,0.933,0.195,-0.366,0.399,Stability
Water Harvesting,Yield Stability,Maize,TRUE,21,5,0.477,0.017,0.2,0.084,0.869,Stability
Inorganic Fertilizer,Yield Stability,Pearl Millet,FALSE,76,4,-0.066,0.743,0.2,-0.457,0.326,Stability
Inorganic Fertilizer,Yield Stability,Pearl Millet,TRUE,129,9,-0.587,0.165,0.423,-1.415,0.242,Stability
Inorganic Fertilizer,Yield Stability,Rice,TRUE,11,4,-0.258,0.568,0.452,-1.143,0.628,Stability
Inorganic Fertilizer,Yield Stability,Sorghum,TRUE,35,5,-1.241,0.016,0.514,-2.249,-0.234,Stability
Mulch,Yield Stability,Wheat,TRUE,10,5,0.131,0.603,0.253,-0.364,0.626,Stability
Reduced Tillage,Yield Stability,Wheat,FALSE,9,4,-0.007,0.982,0.31,-0.615,0.601,Stability
Reduced Tillage,Yield Stability,Wheat,TRUE,10,5,0.131,0.603,0.253,-0.364,0.626,Stability
Inorganic Fertilizer,LCL Risk,Pearl Millet,TRUE,338,10,0.974444288,,0.017660599,0.939254776,1,Risk
Inorganic Fertilizer,LCL Risk,Maize,TRUE,1530,44,0.932718547,,0.028231722,0.877103765,0.988333329,Risk
Inorganic Fertilizer,LCL Risk,Sorghum,TRUE,176,7,0.949623321,,0.033950417,0.880833243,1,Risk
Crop Residue,LCL Risk,Pearl Millet,TRUE,130,4,0.974333651,,0.006136165,0.96174328,0.986924022,Risk
Crop Residue,LCL Risk,Maize,TRUE,254,10,0.83546057,,0.040426497,0.753876596,0.917044544,Risk
Crop Residue Incorporation,LCL Risk,Maize,TRUE,222,9,0.822323279,,0.052229987,0.716179174,0.928467385,Risk
Mulch (Herb),LCL Risk,Wheat,TRUE,53,6,0.437285475,,0.133297049,0.140281142,0.734289809,Risk
Mulch (Herb),LCL Risk,Sorghum,TRUE,149,6,0.961536583,,0.008280504,0.944625538,0.978447629,Risk
Mulch (Herb),LCL Risk,Maize,TRUE,720,31,0.809299535,,0.029350796,0.751295514,0.867303556,Risk
Reduced Tillage,LCL Risk,Wheat,TRUE,53,6,0.437285475,,0.133297049,0.140281142,0.734289809,Risk
Reduced Tillage,LCL Risk,Maize,TRUE,745,31,0.827142911,,0.064443732,0.699841591,0.954444231,Risk
Organic Fertilizer,LCL Risk,Maize,TRUE,332,16,0.916234331,,0.033135911,0.849573477,0.982895186,Risk
Organic Fertilizer,LCL Risk,Sorghum,TRUE,185,6,0.922800806,,0.012196481,0.898187311,0.947414301,Risk
Water Harvesting,LCL Risk,Maize,TRUE,110,5,0.904967502,,0.026420695,0.850658986,0.959276018,Risk
Mulch (Tree),LCL Risk,Maize,TRUE,1192,35,0.796672099,,0.044471539,0.708967943,0.884376255,Risk
Mulch (Tree),LCL Risk,Cassava,TRUE,129,4,0.586272065,,0.109797095,0.360140715,0.812403414,Risk
Mulch (Tree),LCL Risk,Sorghum,TRUE,95,7,0.859205876,,0.034177369,0.788816268,0.929595485,Risk
Mulch (Tree),LCL Risk,Cowpea,TRUE,70,5,0.290328014,,0.066228907,0.150597234,0.430058793,Risk
Alleycropping,LCL Risk,Maize,TRUE,705,26,0.692682368,,0.066448109,0.561241439,0.824123296,Risk
Alleycropping,LCL Risk,Common Bean,TRUE,111,4,0.539277613,,0.087766112,0.358519922,0.720035304,Risk
Alleycropping,LCL Risk,Cassava,TRUE,129,4,0.586272065,,0.109797095,0.360140715,0.812403414,Risk
Alleycropping,LCL Risk,Cowpea,TRUE,46,4,0.23026444,,0.05118502,0.11447588,0.346053,Risk
Crop Rotation,LCL Risk,Maize,TRUE,146,10,0.809312115,,0.058126018,0.691537616,0.927086614,Risk
Green Manure,LCL Risk,Maize,TRUE,329,7,0.805852067,,0.05051478,0.7053435,0.906360635,Risk
Intercropping,LCL Risk,Maize,TRUE,498,17,0.674128005,,0.073599416,0.527817208,0.820438802,Risk
Reduced Tillage,LCL Risk,Wheat,FALSE,49,6,0.170042188,,0.095554845,0,0.382951651,Risk
Inorganic Fertilizer,LCL Risk,Pearl Millet,FALSE,503,16,0.887772615,,0.036800181,0.814843294,0.960701935,Risk
Organic Fertilizer,LCL Risk,Pearl Millet,FALSE,114,4,0.938129622,,0.029852933,0.875145438,1,Risk
Inorganic Fertilizer,LCL Risk,Maize,FALSE,2178,65,0.929382676,,0.010905606,0.907955046,0.950810306,Risk
Mulch (Herb),LCL Risk,Sorghum,FALSE,33,5,0.646112391,,0.142498969,0.323757329,0.968467454,Risk
Reduced Tillage,LCL Risk,Cowpea,FALSE,68,8,0.547584392,,0.100041255,0.337405516,0.757763269,Risk
Mulch (Herb),LCL Risk,Maize,FALSE,298,17,0.689235117,,0.090119833,0.507937398,0.870532836,Risk
Reduced Tillage,LCL Risk,Maize,FALSE,426,30,0.505004363,,0.051743147,0.401926728,0.608081998,Risk
Inorganic Fertilizer,LCL Risk,Sorghum,FALSE,113,6,0.809650009,,0.080304332,0.64540921,0.973890809,Risk
Mulch (Tree),LCL Risk,Maize,FALSE,447,10,0.880286841,,0.048398531,0.783026352,0.97754733,Risk
Crop Residue Incorporation,LCL Risk,Maize,FALSE,229,8,0.768660004,,0.100221308,0.562652156,0.974667852,Risk
Organic Fertilizer,LCL Risk,Maize,FALSE,339,18,0.922264473,,0.020382727,0.881259715,0.96326923,Risk
Inorganic Fertilizer,LCL Risk,Rice,FALSE,227,6,0.954794593,,0.025490892,0.902397314,1,Risk
Reduced Tillage,LCL Risk,Soybean,FALSE,25,4,0.527398615,,0.181200324,0.098927934,0.955869296,Risk
Water Harvesting,LCL Risk,Maize,FALSE,136,9,0.635041768,,0.105569595,0.416103828,0.853979707,Risk
Alleycropping,LCL Risk,Maize,FALSE,82,6,0.307589289,,0.065851234,0.16635244,0.448826138,Risk
Organic Fertilizer,LCL Risk,Sorghum,FALSE,116,7,0.936820468,,0.024191876,0.88748081,0.986160125,Risk
Inorganic Fertilizer,LCL Risk,Groundnut,FALSE,96,7,0.895064658,,0.025322387,0.842912226,0.94721709,Risk
Inorganic Fertilizer,LCL Risk,Cassava,FALSE,106,4,0.784755659,,0.062777864,0.65636051,0.913150808,Risk
Mulch (Tree),LCL Risk,Sorghum,FALSE,66,4,0.875165772,,0.061341935,0.746291148,1,Risk
Inorganic Fertilizer,LCL Risk,Cowpea,FALSE,50,4,0.525853909,,0.120105825,0.258241453,0.793466364,Risk
Crop Rotation,LCL Risk,Pearl Millet,FALSE,45,4,0.915952116,,0.015114988,0.881759636,0.950144595,Risk
Intercropping,LCL Risk,Maize,FALSE,402,18,0.37716621,,0.067039291,0.242922345,0.511410075,Risk
Green Manure,LCL Risk,Maize,FALSE,173,7,0.765446243,,0.066296655,0.631746297,0.899146189,Risk
Crop Rotation,LCL Risk,Maize,FALSE,104,9,0.654412533,,0.132934968,0.378722284,0.930102782,Risk
